,Name,Link,Image,Brand,Best price,Normal price,Type of product,Category,Description,Ingredients,Available,Date
1064,Granola proteica 350 g,https://www.santaisabel.cl/granola-proteica-350-g-1822782/p,https://santaisabel.vtexassets.com/arquivos/ids/200642-750-750?width=750&height=750&aspect=true,Wild,NA,4469,NA,Desayuno y Dulces,"Tipo de Producto
Granola",NA,Yes,2022-09-26
1065,Endulzante tabletas sucralosa 500 un.,https://www.santaisabel.cl/endulzante-sucralosa-iansa-cero-k-500-tabletas-2/p,https://santaisabel.vtexassets.com/arquivos/ids/189538-750-750?width=750&height=750&aspect=true,Iansa Cero K,NA,3899,Sucralosa,Desayuno y Dulces,"Endulzante Tabletas Sucralosa es una excelente manera de endulzar tus preparaciones, sin agregarle calorías, pero conservando ese sabor del azúcar que tanto te gusta. 1 tableta = 2 cucharaditas de azúcar. Sin Gluten. Formato 500 un.",NA,Yes,2022-09-26
1066,Chocolate En Línea 85% cacao 50 g,https://www.santaisabel.cl/chocolate-en-linea-85-cacao-50-g-1786731/p,https://santaisabel.vtexassets.com/arquivos/ids/204794-750-750?width=750&height=750&aspect=true,En Línea,NA,2359,Chocolate Macizo,Desayuno y Dulces,"Ingredientes:
Licor de cacao, maltitol, polidextrosa, lecitina de soya, polirricinoleato de poliglicerol, sabor identico al natural, sucralosa (100mg/100g - 30mg/30g - IDA 0-15mg/Kg de peso corporal). Ingredientes:",NA,Yes,2022-09-26
1067,Café Dolce Gusto Espresso Intenso 16 Cápsulas,https://www.santaisabel.cl/capsulas-de-cafe-nescafe-dolce-gusto-caja-16-capsulas-espresso-intenso/p,https://santaisabel.vtexassets.com/arquivos/ids/177318-750-750?width=750&height=750&aspect=true,Dolce Gusto,NA,6749,Porciones por envase:,Desayuno y Dulces,"Café Nescafé Dolce Gusto Espresso Intenso, un café de sabor intenso y lleno de aroma de los mejores granos de Robusta y Arábica, extraído con la presión perfecta para lograr una delicada capa de crema. Formato 16 Cápsulas",NA,Yes,2022-09-26
1068,Mazapán Baustamm con nougat y cubierto de chocolate 100 g,https://www.santaisabel.cl/mazapan-baustamm-con-nougat-y-cubierto-de-chocolate-100-g-780236/p,https://santaisabel.vtexassets.com/arquivos/ids/197891-750-750?width=750&height=750&aspect=true,Zentis,NA,1399,Mazapán,Desayuno y Dulces,"Mazapán aterciopelado de avellanas envuelto en mazapán fino 70/30 y chocolate con leche delicadamente derretido es este delicioso tronco de mazapán fino Zentis. Un manjar selecto con fina decoración de chocolate, garantizado para satisfacer a todos los gourmets de temporada.",NA,Yes,2022-09-26
1069,Galletas limón 375 g,https://www.santaisabel.cl/galletas-limon-375-g-1869711/p,https://santaisabel.vtexassets.com/arquivos/ids/174002-750-750?width=750&height=750&aspect=true,Santiago,NA,1279,Galletas Tradicionales,Desayuno y Dulces,"Galletas Santiago trae las mejores galletas para compartir en familia. En esta oportunidad, sabor limón.",NA,Yes,2022-09-26
1070,Crema de avellana alemana 750 g,https://www.santaisabel.cl/crema-de-avellana-nutella-750-g-alemana/p,https://santaisabel.vtexassets.com/arquivos/ids/163871-750-750?width=750&height=750&aspect=true,Nutella,NA,9699,Cremas Instantáneas,Desayuno y Dulces,"¡Despierta con Nutella!
¡Disfruta de buenos momentos en compañía!
Nutella® está presente en las mesas de desayuno de millones de personas de todo el mundo desde hace más de 50 años, impregnando de buenos momentos las mañanas. El sabor de una rebanada de pan con Nutella® es extraordinario. Gracias a nuestra receta particular e inimitable, Nutella® es la crema de avellanas más conocida y emblemática del mundo.
Una receta única
Cada tarro de Nutella® contiene ingredientes de calidad cuidadosamente seleccionados y nada más. Nutella® es conocida por su sabor auténtico de avellanas y cacao, irresistible por su cremosidad única. Su sabor es tan delicioso que una sola ración es suficiente para hacerte tocar el cielo. Unta con 15 g de Nutella®, aproximadamente una cucharadita, una rebanada de pan y disfrutarás de una experiencia exquisita. Úntala, pruébala, y disfruta de tu desayuno. ¡Disfruta de buenos momentos en compañía!",NA,Yes,2022-09-26
1071,Cereal Estrellitas sachet 30g,https://www.santaisabel.cl/cereal-con-miel-30-g-924080/p,https://santaisabel.vtexassets.com/arquivos/ids/172648-750-750?width=750&height=750&aspect=true,Estrellitas,NA,449,Cereal Sabor,Desayuno y Dulces,"Cereal Estrellitas, es un cereal integral con formas de lunas y estrellas, con sabor a miel. Con Vitaminas y Minerales. Sin saborizantes y sin colorantes artificiales. Formato 30g. Sin azúcar añadida (Este producto no es libre de calorías)",NA,Yes,2022-09-26
1072,Galletas de avena almendras 115 g,https://www.santaisabel.cl/galleta-cereal-mix-avena-y-almendras-arcor-115-g/p,https://santaisabel.vtexassets.com/arquivos/ids/163528-750-750?width=750&height=750&aspect=true,Arcor,NA,819,Galletas Chips,Desayuno y Dulces,"Galletas con cereales, fibra, almendras y miel. Un rico snack bajo en sodio, ideal para disfrutar en cualquier momento.",NA,Yes,2022-09-26
1073,Endulzante stevia 900 tabletas,https://www.santaisabel.cl/endulzante-stevia-900-tabletas-1647160/p,https://santaisabel.vtexassets.com/arquivos/ids/174602-750-750?width=750&height=750&aspect=true,Naturalist,NA,4359,Stevia,Desayuno y Dulces,"Naturalist stevia en tabletas combina la naturalidad de la stevia con el exquisito dulzor de la sucralosa. Es libre de calorías, azúcares, fructosa, sodio y glúten. Este formato es el más grande del mercado y tiene el precio más conveniente por porción. 1 tableta de Naturalist stevia equivalen a 1 cucharadita de azúcar común.",NA,Yes,2022-09-26
1074,"Mermelada En Línea 200 g, Frutilla",https://www.santaisabel.cl/mermelada-en-linea-200-g-frutilla-2/p,https://santaisabel.vtexassets.com/arquivos/ids/170687-750-750?width=750&height=750&aspect=true,En Línea,NA,1019,Mermeladas,Desayuno y Dulces,"Mermelada sabor frutilla, buena fuente de fibra, prebióticos y antioxidantes, sin azúcar, endulzada con stevia. Mermelada sabor frutilla, buena fuente de fibra, prebióticos y antioxidantes, sin azúcar, endulzada con stevia.",NA,Yes,2022-09-26
1075,Chocolate Peanut 156 g,https://www.santaisabel.cl/chocolate-m-and-m-s-124-g-peanut-poch-1533575/p,https://santaisabel.vtexassets.com/arquivos/ids/195392-750-750?width=750&height=750&aspect=true,M&M'S,NA,2699,Balls Chocolate,Desayuno y Dulces,"El delicioso sabor del popular chocolate con maní en un formato innovador, para llevarlo a todas partes, sin derramar ya que tiene zipper, ideal para transportarlo, comparte ricos momentos con M&M´s El delicioso sabor del popular chocolate con maní en un formato innovador, para llevarlo a todas partes, sin derramar ya que tiene zipper, ideal para transportarlo, comparte ricos momentos con M&M´s",NA,Yes,2022-09-26
1076,Yerba mate Amanda c/palo 500 g,https://www.santaisabel.cl/yerba-mate-amanda-c-palo-500-g/p,https://santaisabel.vtexassets.com/arquivos/ids/168864-750-750?width=750&height=750&aspect=true,Amanda,NA,3390,Yerba Mate,Desayuno y Dulces,"Yerba Mate elaborada con palo con 5% de hierbas. Compuesta con Peperina, Poleo, Incayuyo, Tilo, Boldo, Menta y Cedrón. Yerba Mate elaborada con palo con 5% de hierbas. Compuesta con Peperina, Poleo, Incayuyo, Tilo, Boldo, Menta y Cedrón.",NA,Yes,2022-09-26
1077,Crema de cacao y avellana 400 g,https://www.santaisabel.cl/crema-cacao-y-avellana-pasta-nussa-duo-kruger-frasco-400-grs-2/p,https://santaisabel.vtexassets.com/arquivos/ids/163609-750-750?width=750&height=750&aspect=true,Krüger,NA,3399,Cremas Instantáneas,Desayuno y Dulces,"Crema de cacao y avellanas, perfecta para endulzar todos tus snacks o pan. Un sabor simplemente incomparable.",NA,Yes,2022-09-26
1078,Galletas Choc Kiss 135 g,https://www.santaisabel.cl/galleta-choc-kiss-dos-en-uno-135-g-2/p,https://santaisabel.vtexassets.com/arquivos/ids/163550-750-750?width=750&height=750&aspect=true,Dos En Uno,NA,649,Galletas Chips,Desayuno y Dulces,Galletitas dulces con coco y chips sabor a chocolate. Chock Kiss para disfrutar en tus break o junto a tus amigos.,NA,Yes,2022-09-26
1079,Yerba mate 1 kg,https://www.santaisabel.cl/yerba-mate-1-kg/p,https://santaisabel.vtexassets.com/arquivos/ids/180948-750-750?width=750&height=750&aspect=true,Playadito,NA,5499,Yerba Mate,Desayuno y Dulces,"Yerba Mate Playito. Está considerada óptima para obtener un producto seleccionado que permita una infusión o mate de rico sabor, suave y rendidor. Yerba Mate Playito. Está considerada óptima para obtener un producto seleccionado que permita una infusión o mate de rico sabor, suave y rendidor.",NA,Yes,2022-09-26
